RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,SALE PRICE_BOROUGH,SALE PRICE_NEIGHBORHOOD,SALE PRICE_TAX,SALE PRICE_BUILDING_CLASS
1.0,0.0,1.0,2158,1672,77.0,4802954.856186422,374997.4832327893,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2600,2040,97.0,4802954.856186422,3792714.9696544283,1017245.6915716137,3748205.2976491596
1.0,0.0,1.0,2441,1462,5.0,836270.3489777793,163333.5567613615,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,6504,2210,61.0,4802954.856186422,989881.2327497865,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,2250,1656,89.0,5063551.579976352,8465665.880754348,1017245.6915716137,10272188.624471162
2.0,0.0,2.0,2856,1980,101.0,3861703.9736522343,561288.7498758736,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,1500,2400,108.0,5063551.579976352,1990931.7424527043,1017245.6915716137,17222971.455350507
1.0,0.0,1.0,2500,1264,99.0,4802954.856186422,338458.77806244313,1017245.6915716137,9385416.083075248
5.0,0.0,5.0,3258,3280,94.0,5063551.579976352,4046612.28240899,14936873.340818262,6669013.842240822
1.0,0.0,1.0,6000,1370,82.0,836270.3489777793,207110.8462204024,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,5582,2426,97.0,4802954.856186422,864596.1995937392,1017245.6915716137,4156933.960234159
2.0,0.0,2.0,2211,3376,117.0,5063551.579976352,7179335.0473933695,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,6720,960,61.0,836270.3489777793,163333.5567613615,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,2250,3450,63.0,5063551.579976352,8465665.880754348,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,1100,1375,70.0,3861703.9736522343,861315.1810494018,1017245.6915716137,8096569.671146394
1.0,0.0,1.0,2000,1753,13.0,836270.3489777793,923506.1855513548,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,3402,1360,87.0,836270.3489777793,313062.5317207275,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,2117,1884,56.0,5063551.579976352,585974.0009088849,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,2500,1724,98.0,4802954.856186422,672928.7891992137,1017245.6915716137,9385416.083075248
