RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,SALE PRICE_BOROUGH,SALE PRICE_NEIGHBORHOOD,SALE PRICE_TAX,SALE PRICE_BUILDING_CLASS
0.0,1.0,1.0,2500,2649,29.0,4802954.856186422,3801467.7269542115,32271016.052699663,5770737.687805806
2.0,0.0,2.0,1400,2400,3.0,4802954.856186422,2324084.2196704787,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2000,1120,97.0,4802954.856186422,183492.55276830532,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,648,948,26.0,836270.3489777793,93239.44221503208,1017245.6915716137,4343821.370997797
2.0,0.0,2.0,1012,2673,11.0,5063551.579976352,2781265.286579693,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2000,2580,117.0,5063551.579976352,2826500.752632177,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,4000,1560,103.0,836270.3489777793,631575.6741298423,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,2325,1478,97.0,4802954.856186422,225464.37264503955,1017245.6915716137,13833978.22534021
1.0,0.0,1.0,6300,1440,99.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,1900,1496,33.0,836270.3489777793,188459.38607581737,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,2000,1805,87.0,5063551.579976352,449760.0537765768,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,4000,1892,97.0,4802954.856186422,276003.28862739983,1017245.6915716137,9385416.083075248
3.0,1.0,4.0,1407,3123,107.0,5063551.579976352,9996753.67684368,14936873.340818262,8096569.671146394
2.0,0.0,2.0,3600,2454,68.0,4802954.856186422,503373.9371805768,1017245.6915716137,5366444.865610001
1.0,0.0,1.0,2500,1124,99.0,836270.3489777793,556627.1705267628,1017245.6915716137,9385416.083075248
13.0,0.0,13.0,3327,10720,88.0,3861703.9736522343,3647632.645829967,14936873.340818262,9385416.083075248
1.0,0.0,1.0,4000,1542,67.0,4802954.856186422,411105.95406102965,1017245.6915716137,3452978.5270653986
1.0,0.0,1.0,2262,1500,32.0,836270.3489777793,857268.291222945,1017245.6915716137,7197867.78196626
2.0,0.0,2.0,2000,3200,121.0,5063551.579976352,1990931.7424527043,1017245.6915716137,1502799.8878059827
2.0,1.0,3.0,1640,2740,87.0,5063551.579976352,2093781.0712347392,32271016.052699663,17222971.455350507
2.0,0.0,2.0,3200,1139,89.0,4802954.856186422,503373.9371805768,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,2475,2242,3.0,836270.3489777793,2400207.3691350175,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,10000,1189,3.0,35225126.574949324,13771873.996994054,14936873.340818262,8960340.83311872
1.0,0.0,1.0,2556,2147,5.0,836270.3489777793,1078998.3856914986,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,5137,1488,99.0,4802954.856186422,225464.37264503955,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2975,2163,60.0,4802954.856186422,1805267.7243366921,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2350,2048,94.0,5063551.579976352,2048681.4632169483,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,1204,1400,17.0,836270.3489777793,353660.7854871189,1017245.6915716137,1671365.5447206842
0.0,2.0,2.0,7532,112850,11.0,35225126.574949324,73915011.50797829,32271016.052699663,21104247.57518568
1.0,0.0,1.0,3250,860,82.0,5063551.579976352,585974.0009088849,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,2184,2080,27.0,4802954.856186422,2324084.2196704787,1017245.6915716137,9385416.083075248
3.0,0.0,3.0,3000,2862,118.0,5063551.579976352,5419054.229409519,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,1802,2516,13.0,35225126.574949324,41775726.05849887,14936873.340818262,8960340.83311872
0.0,1.0,1.0,1800,5400,20.0,5063551.579976352,1125155.1019257733,32271016.052699663,9199411.590265727
1.0,0.0,1.0,2200,1256,107.0,5063551.579976352,2251161.550310983,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,2300,1881,77.0,3861703.9736522343,214633.13638460406,1017245.6915716137,3485652.1876102965
3.0,0.0,3.0,2728,4420,56.0,4802954.856186422,198422.37483643965,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,2304,1400,29.0,836270.3489777793,353660.7854871189,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,2073,1944,59.0,4802954.856186422,338836.3118425646,1017245.6915716137,8960340.83311872
6.0,2.0,8.0,2017,7462,83.0,5063551.579976352,2582674.6679680957,14936873.340818262,8096569.671146394
2.0,0.0,2.0,4350,2292,98.0,4802954.856186422,2324084.2196704787,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,2140,1606,77.0,5063551.579976352,1471105.017208161,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,970,1350,25.0,836270.3489777793,857268.291222945,1017245.6915716137,8960340.83311872
10.0,0.0,10.0,2523,8975,107.0,35225126.574949324,11418221.549969604,14936873.340818262,6669013.842240822
2.0,0.0,2.0,13701,4400,34.0,836270.3489777793,313278.511004507,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,4455,2260,2.0,836270.3489777793,278360.83940781665,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,1983,1910,21.0,5063551.579976352,7195556.589289448,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,2640,3010,77.0,4802954.856186422,29055204.37865142,1017245.6915716137,4343821.370997797
0.0,12.0,12.0,4067,44063,109.0,35225126.574949324,73915011.50797829,32271016.052699663,8960340.83311872
1.0,0.0,1.0,904,1050,98.0,3861703.9736522343,1593768.1236242838,1017245.6915716137,9385416.083075248
49.0,0.0,49.0,10655,42170,88.0,3861703.9736522343,861315.1810494018,14936873.340818262,8096569.671146394
1.0,0.0,1.0,1950,900,92.0,3861703.9736522343,2586542.975325,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,6000,1668,84.0,4802954.856186422,276003.28862739983,1017245.6915716137,9880790.642804565
3.0,0.0,3.0,3042,3430,46.0,4802954.856186422,854366.5569413753,1017245.6915716137,4927144.640210341
2.0,0.0,2.0,2100,1536,88.0,4802954.856186422,1066619.3996571056,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2800,1536,20.0,836270.3489777793,325733.2560124676,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,3000,2737,81.0,3861703.9736522343,214633.13638460406,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,2000,1120,96.0,4802954.856186422,535932.9023346939,1017245.6915716137,5605166.105268096
1.0,0.0,1.0,2800,1600,53.0,836270.3489777793,278360.83940781665,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,2325,1248,97.0,4802954.856186422,933329.6652131717,1017245.6915716137,8839384.08893964
1.0,0.0,1.0,2230,963,97.0,4802954.856186422,341633.3415789724,1017245.6915716137,5605166.105268096
1.0,0.0,1.0,1800,1080,63.0,3861703.9736522343,952195.0945023171,1017245.6915716137,8096569.671146394
0.0,1.0,1.0,5000,6960,118.0,3861703.9736522343,9626537.89204008,32271016.052699663,9385416.083075248
3.0,0.0,3.0,3328,3177,14.0,4802954.856186422,2688846.059059772,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,5000,2468,98.0,5063551.579976352,2580664.6535697053,1017245.6915716137,8960340.83311872
21.0,0.0,21.0,3500,14175,93.0,3861703.9736522343,2864946.606665272,14936873.340818262,13833978.22534021
1.0,0.0,1.0,3000,1114,97.0,4802954.856186422,505244.33740209386,1017245.6915716137,1924544.175486551
1.0,1.0,2.0,2450,2376,101.0,836270.3489777793,272301.41077740636,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,2500,1584,13.0,4802954.856186422,4536793.06880105,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2960,2128,92.0,4802954.856186422,2011235.010806964,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,2567,2544,92.0,5063551.579976352,2484408.8042539535,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,4924,3024,74.0,4802954.856186422,4536793.06880105,1017245.6915716137,9385416.083075248
4.0,0.0,4.0,2260,2800,87.0,4802954.856186422,338836.3118425646,14936873.340818262,8960340.83311872
1.0,0.0,1.0,2500,1776,94.0,4802954.856186422,4369043.0271755755,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2500,1376,100.0,4802954.856186422,2141238.4892946505,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2600,1272,88.0,4802954.856186422,225464.37264503955,1017245.6915716137,9385416.083075248
0.0,2.0,2.0,7532,112850,9.0,35225126.574949324,18890182.40240153,32271016.052699663,15639642.256123416
1.0,0.0,1.0,15306,1336,54.0,836270.3489777793,656699.1795774497,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,1855,1920,28.0,836270.3489777793,1567722.291555938,1017245.6915716137,3748205.2976491596
1.0,0.0,1.0,3500,880,70.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2000,1120,96.0,4802954.856186422,183492.55276830532,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,3850,3080,93.0,5063551.579976352,2048681.4632169483,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,3825,676,2.0,5063551.579976352,1990931.7424527043,14936873.340818262,9199411.590265727
2.0,0.0,2.0,2200,2860,118.0,5063551.579976352,1619349.384835811,1017245.6915716137,13833978.22534021
2.0,0.0,2.0,2000,2172,106.0,5063551.579976352,1216756.2872842911,1017245.6915716137,3485652.1876102965
2.0,1.0,3.0,19250,1952,87.0,836270.3489777793,1444106.3842058622,1017245.6915716137,4690409.247198905
4.0,0.0,4.0,2395,2395,102.0,35225126.574949324,28977819.8499326,14936873.340818262,21104247.57518568
3.0,0.0,3.0,2375,3222,116.0,3861703.9736522343,4044821.1477292916,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,1012,1040,120.0,5063551.579976352,5321808.938237579,1017245.6915716137,7146171.931056228
1.0,0.0,1.0,3500,1734,100.0,4802954.856186422,3658924.870576323,1017245.6915716137,8960340.83311872
4.0,0.0,4.0,2000,2720,93.0,5063551.579976352,1099103.882624396,14936873.340818262,6669013.842240822
1.0,0.0,1.0,4000,689,90.0,4802954.856186422,1822764.4671913718,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2800,1680,84.0,4802954.856186422,338836.3118425646,1017245.6915716137,7197867.78196626
2.0,0.0,2.0,2383,1960,89.0,5063551.579976352,1118861.5774170554,1017245.6915716137,7197867.78196626
2.0,0.0,2.0,5000,1562,100.0,4802954.856186422,1805267.7243366921,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2850,2000,119.0,3861703.9736522343,4125660.0651885346,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,2000,2060,109.0,5063551.579976352,1118861.5774170554,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,2488,1216,87.0,5063551.579976352,757179.1686118934,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,3500,1339,84.0,4802954.856186422,444835.05494488974,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,1800,1870,97.0,4802954.856186422,535932.9023346939,1017245.6915716137,5605166.105268096
2.0,0.0,2.0,1800,1140,108.0,5063551.579976352,1118861.5774170554,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,5698,1195,97.0,4802954.856186422,4536793.06880105,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,4000,2688,2.0,4802954.856186422,3658924.870576323,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2000,1768,114.0,4802954.856186422,3525347.0874369014,1017245.6915716137,1053352.3425155885
2.0,0.0,2.0,2567,2288,16.0,4802954.856186422,2324084.2196704787,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2500,1160,119.0,5063551.579976352,1118861.5774170554,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,1188,1683,80.0,5063551.579976352,829114.3498972016,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,1694,816,107.0,5063551.579976352,1125155.1019257733,1017245.6915716137,5605166.105268096
2.0,0.0,2.0,3000,3040,16.0,836270.3489777793,857268.291222945,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,3500,1701,69.0,3861703.9736522343,952195.0945023171,1017245.6915716137,13833978.22534021
2.0,0.0,2.0,2177,1260,59.0,3861703.9736522343,1893200.2006191276,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,5883,2770,52.0,5063551.579976352,784880.8748864772,1017245.6915716137,8096569.671146394
3.0,0.0,3.0,1998,4750,110.0,35225126.574949324,9827333.465982007,1017245.6915716137,7197867.78196626
3.0,0.0,3.0,2000,4140,118.0,3861703.9736522343,3177357.106902266,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2125,2400,69.0,3861703.9736522343,359787.0312928099,1017245.6915716137,8378411.299899098
2.0,0.0,2.0,4000,1189,89.0,4802954.856186422,417027.5676049989,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,5000,978,71.0,4802954.856186422,349183.0363051897,1017245.6915716137,4502563.948733406
2.0,0.0,2.0,2254,2205,82.0,4802954.856186422,2435348.8512849095,1017245.6915716137,1371018.959418222
2.0,0.0,2.0,5060,1892,108.0,3861703.9736522343,3177357.106902266,1017245.6915716137,13833978.22534021
2.0,0.0,2.0,2600,1512,88.0,4802954.856186422,225464.37264503955,1017245.6915716137,4343821.370997797
2.0,1.0,3.0,1640,3200,87.0,5063551.579976352,2093781.0712347392,1017245.6915716137,7197867.78196626
6.0,0.0,6.0,2500,4875,87.0,5063551.579976352,2781265.286579693,14936873.340818262,9199411.590265727
4.0,1.0,5.0,1422,4660,109.0,35225126.574949324,30125777.33189655,14936873.340818262,9385416.083075248
1.0,0.0,1.0,4000,1560,79.0,4802954.856186422,357380.02614096954,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2448,1200,99.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2525,1600,21.0,836270.3489777793,336627.6804035552,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,3194,1000,119.0,5063551.579976352,5419054.229409519,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,2555,1656,108.0,5063551.579976352,5419054.229409519,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,2000,1800,108.0,5063551.579976352,2781265.286579693,1017245.6915716137,21104247.57518568
2.0,0.0,2.0,2000,1600,88.0,4802954.856186422,3525347.0874369014,1017245.6915716137,3452978.5270653986
2.0,0.0,2.0,2241,1864,74.0,4802954.856186422,4536793.06880105,1017245.6915716137,9385416.083075248
3.0,0.0,3.0,2020,3015,119.0,5063551.579976352,1538714.531011907,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,802,802,5.0,4802954.856186422,3658924.870576323,14936873.340818262,1502799.8878059827
1.0,0.0,1.0,4000,1640,89.0,836270.3489777793,1701993.939526431,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,1840,1188,55.0,836270.3489777793,448233.291161978,1017245.6915716137,9385416.083075248
3.0,1.0,4.0,2500,2464,88.0,4802954.856186422,3525347.0874369014,14936873.340818262,8960340.83311872
2.0,0.0,2.0,2404,2831,92.0,5063551.579976352,1174102.5794138785,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,3103,1304,95.0,836270.3489777793,149307.44021623553,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2484,2110,104.0,3861703.9736522343,3376470.7666906123,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2000,500,1.0,5063551.579976352,1924065.144958614,14936873.340818262,8960340.83311872
1.0,0.0,1.0,1870,1480,42.0,836270.3489777793,164941.98785813747,1017245.6915716137,7146171.931056228
1.0,0.0,1.0,2500,1120,88.0,5063551.579976352,3230797.413111653,1017245.6915716137,8378411.299899098
0.0,1.0,1.0,1997,1800,87.0,4802954.856186422,672928.7891992137,32271016.052699663,4706271.377821998
1.0,0.0,1.0,2520,1462,92.0,4802954.856186422,225464.37264503955,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2500,1568,87.0,4802954.856186422,183724.9784801987,1017245.6915716137,9499686.195361389
2.0,0.0,2.0,2600,2310,40.0,836270.3489777793,298759.89043444046,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,4017,1363,69.0,4802954.856186422,1822764.4671913718,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,3342,1545,92.0,4802954.856186422,3525347.0874369014,1017245.6915716137,11911934.242831849
0.0,1.0,1.0,18000,7396,63.0,836270.3489777793,508657.57120637345,32271016.052699663,9880790.642804565
1.0,0.0,1.0,4000,1420,110.0,5063551.579976352,532520.0531358528,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,3400,1456,94.0,4802954.856186422,490272.09492791106,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,4000,1839,90.0,4802954.856186422,276003.28862739983,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,3040,1760,48.0,836270.3489777793,857268.291222945,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,42293,970,55.0,4802954.856186422,29055204.37865142,14936873.340818262,9385416.083075248
1.0,0.0,1.0,1800,1188,29.0,3861703.9736522343,3177357.106902266,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2400,1216,88.0,4802954.856186422,1066619.3996571056,1017245.6915716137,8960340.83311872
3.0,0.0,3.0,2000,3324,117.0,3861703.9736522343,3177357.106902266,1017245.6915716137,7698658.817626981
2.0,0.0,2.0,2277,2527,97.0,5063551.579976352,1216756.2872842911,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,1733,868,97.0,5063551.579976352,149050.47312701354,1017245.6915716137,8378411.299899098
16.0,0.0,16.0,5620,14000,105.0,5063551.579976352,2580664.6535697053,14936873.340818262,8960340.83311872
1.0,0.0,1.0,3420,820,88.0,4802954.856186422,320659.4979397228,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,4000,1138,78.0,4802954.856186422,3658924.870576323,1017245.6915716137,3452978.5270653986
1.0,0.0,1.0,3555,1074,93.0,3861703.9736522343,473525.75493028335,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,1526,1080,88.0,4802954.856186422,672928.7891992137,1017245.6915716137,8960340.83311872
0.0,1.0,1.0,4575,5000,20.0,4802954.856186422,338458.77806244313,32271016.052699663,9385416.083075248
1.0,0.0,1.0,9912,3570,127.0,836270.3489777793,331281.08019261283,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,2000,1950,82.0,5063551.579976352,328181.12447833916,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,2550,1496,116.0,836270.3489777793,508657.57120637345,1017245.6915716137,8960340.83311872
3.0,0.0,3.0,4000,2200,103.0,4802954.856186422,1726711.1196493353,1017245.6915716137,3452978.5270653986
1.0,0.0,1.0,5000,1408,55.0,3861703.9736522343,221814.44087611348,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,1800,1782,82.0,5063551.579976352,4752688.856480637,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,2500,1078,106.0,4802954.856186422,2435348.8512849095,1017245.6915716137,1371018.959418222
1.0,0.0,1.0,4000,2002,66.0,4802954.856186422,1520276.6915333157,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,1730,564,99.0,4802954.856186422,225464.37264503955,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,5307,2628,37.0,836270.3489777793,230300.04381718725,1017245.6915716137,5605166.105268096
1.0,0.0,1.0,4000,1506,54.0,5063551.579976352,8549826.809133584,1017245.6915716137,7197867.78196626
1.0,0.0,1.0,1470,2001,28.0,836270.3489777793,229046.85581260614,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,3251,2535,11.0,4802954.856186422,1304075.2151260627,1017245.6915716137,2468162.7594685624
5.0,0.0,5.0,2000,6500,107.0,5063551.579976352,1148988.0989418265,14936873.340818262,6669013.842240822
2.0,0.0,2.0,1542,1530,119.0,5063551.579976352,1990931.7424527043,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,2875,1597,109.0,4802954.856186422,338458.77806244313,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2050,2004,102.0,5063551.579976352,1299348.265118323,1017245.6915716137,8096569.671146394
1.0,0.0,1.0,2500,1120,87.0,5063551.579976352,1471105.017208161,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,4000,1152,67.0,4802954.856186422,4536793.06880105,1017245.6915716137,806385.9704467417
1.0,0.0,1.0,4242,768,71.0,4802954.856186422,4536793.06880105,1017245.6915716137,1450722.3855213074
1.0,0.0,1.0,1808,1212,89.0,5063551.579976352,532520.0531358528,1017245.6915716137,4343821.370997797
1.0,0.0,1.0,2000,1313,95.0,5063551.579976352,2048681.4632169483,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,4983,1800,117.0,4802954.856186422,26014559.60558188,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2003,1392,100.0,5063551.579976352,1886526.231223137,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,2042,1410,83.0,4802954.856186422,444835.05494488974,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,4000,1720,53.0,836270.3489777793,229046.85581260614,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2008,1414,78.0,4802954.856186422,1805267.7243366921,1017245.6915716137,9385416.083075248
3.0,0.0,3.0,2500,2900,56.0,4802954.856186422,2435348.8512849095,1017245.6915716137,5374235.587531413
1.0,0.0,1.0,2500,1174,119.0,5063551.579976352,4374883.979494905,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,1667,1968,120.0,5063551.579976352,1561378.5384206239,1017245.6915716137,4343821.370997797
3.0,0.0,3.0,4092,3129,87.0,5063551.579976352,2048681.4632169483,1017245.6915716137,467341.77133877523
37.0,0.0,37.0,7602,27250,94.0,3861703.9736522343,2611309.9224563097,14936873.340818262,13833978.22534021
1.0,0.0,1.0,1600,924,99.0,4802954.856186422,225464.37264503955,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2000,1380,100.0,5063551.579976352,4374883.979494905,1017245.6915716137,9880790.642804565
2.0,0.0,2.0,2000,2344,77.0,5063551.579976352,1039114.2117795983,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,2000,1664,82.0,5063551.579976352,532629.5229987261,1017245.6915716137,8096569.671146394
1.0,0.0,1.0,2003,1400,113.0,5063551.579976352,2093781.0712347392,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2300,1809,86.0,5063551.579976352,224439.51144337078,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,4000,2000,83.0,4802954.856186422,239275.57368842905,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2658,2190,94.0,5063551.579976352,1138899.9407762724,1017245.6915716137,7197867.78196626
1.0,0.0,1.0,3600,1172,68.0,4802954.856186422,3658924.870576323,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2250,1560,56.0,5063551.579976352,585974.0009088849,1017245.6915716137,3485652.1876102965
6.0,0.0,6.0,2750,2772,88.0,3861703.9736522343,4125660.0651885346,14936873.340818262,8960340.83311872
1.0,0.0,1.0,2300,1216,23.0,836270.3489777793,324730.1510149914,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2357,2846,68.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2000,3300,99.0,5063551.579976352,2781265.286579693,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2475,2340,91.0,5063551.579976352,1099103.882624396,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,1854,1260,48.0,836270.3489777793,426530.4478993629,1017245.6915716137,3748205.2976491596
1.0,0.0,1.0,4963,1499,94.0,4802954.856186422,154381.6040317292,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,2000,994,100.0,4802954.856186422,1822764.4671913718,1017245.6915716137,5770737.687805806
21.0,0.0,21.0,5100,19190,100.0,3861703.9736522343,13419249.642940253,14936873.340818262,6669013.842240822
1.0,0.0,1.0,3800,1300,61.0,4802954.856186422,407205.7797254754,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,2448,1248,97.0,4802954.856186422,1066619.3996571056,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2000,1200,85.0,4802954.856186422,276003.28862739983,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,3000,2325,31.0,3861703.9736522343,5411514.810193475,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,3600,4173,25.0,5063551.579976352,149050.47312701354,1017245.6915716137,9385416.083075248
2.0,2.0,4.0,1557,5120,96.0,5063551.579976352,43201480.54128017,32271016.052699663,9003936.976106366
8.0,2.0,10.0,1176,5860,116.0,35225126.574949324,9001806.808015428,14936873.340818262,6669013.842240822
1.0,0.0,1.0,12644,506,34.0,35225126.574949324,51708919.26731523,14936873.340818262,9385416.083075248
1.0,0.0,1.0,2500,1845,86.0,3861703.9736522343,164231.86396485797,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,2150,4920,108.0,5063551.579976352,3053182.964516212,1017245.6915716137,8096569.671146394
1.0,0.0,1.0,1800,1890,62.0,4802954.856186422,1220419.8188183976,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,1500,1576,29.0,836270.3489777793,399503.89884084417,1017245.6915716137,7510504.63718403
2.0,0.0,2.0,3040,1198,75.0,4802954.856186422,4536793.06880105,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,3325,1222,88.0,4802954.856186422,276003.28862739983,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,4000,975,67.0,4802954.856186422,183492.55276830532,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,5000,1796,103.0,836270.3489777793,508657.57120637345,1017245.6915716137,9880790.642804565
1.0,0.0,1.0,2500,2145,86.0,3861703.9736522343,597153.3942525067,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,39392,453,3.0,5063551.579976352,12695762.2579782,14936873.340818262,1502799.8878059827
4.0,0.0,4.0,2500,3600,78.0,3861703.9736522343,1293387.3978451886,14936873.340818262,6669013.842240822
2.0,0.0,2.0,2003,2028,78.0,5063551.579976352,2582674.6679680957,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,3600,1548,97.0,4802954.856186422,739954.227165438,1017245.6915716137,4690409.247198905
4.0,0.0,4.0,6000,3328,62.0,836270.3489777793,336627.6804035552,14936873.340818262,9199411.590265727
2.0,0.0,2.0,5700,2798,33.0,836270.3489777793,581745.5040940833,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2200,1064,93.0,5063551.579976352,532629.5229987261,1017245.6915716137,9499686.195361389
2.0,0.0,2.0,1573,1200,17.0,836270.3489777793,313299.56112378626,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,4427,2190,1.0,836270.3489777793,188459.38607581737,1017245.6915716137,9199411.590265727
3.0,0.0,3.0,6000,2827,109.0,5063551.579976352,1138899.9407762724,1017245.6915716137,9199411.590265727
3.0,0.0,3.0,2375,2000,85.0,3861703.9736522343,1343914.5087255694,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,688,2904,29.0,836270.3489777793,399503.89884084417,1017245.6915716137,9199411.590265727
2.0,0.0,2.0,4000,3055,51.0,4802954.856186422,3443878.576130942,1017245.6915716137,2468162.7594685624
3.0,0.0,3.0,3000,2268,59.0,5063551.579976352,8549826.809133584,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2365,1395,97.0,4802954.856186422,343899.16564980877,1017245.6915716137,5605166.105268096
2.0,0.0,2.0,1900,2565,110.0,5063551.579976352,2781265.286579693,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2050,2544,96.0,5063551.579976352,742826.2949783691,1017245.6915716137,3485652.1876102965
