latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1449,"88 greenwich street, ph2",PH2,10006,"2,900,000",88 greenwich street,3,0,3,4165,2940,107
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1011,"40 broad street, 11e",11E,10004,"1,050,000",40 broad street,1,0,1,4000,1260,73
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1013,"40 broad, 11g",11G,10004,"704,000",40 broad,1,0,1,3800,1276,98
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1018,"40 broad street, 12d",12D,10004,"840,000",40 broad street,0,2,2,7532,112850,10
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1050,"40 broad street, 17e",17E,10004,"1,070,000",40 broad street,3,0,3,1200,2680,11
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1067,"40 broad street, 19fg",19FG,10004,"1,545,000",40 broad street,1,2,3,1307,2268,90
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1077,"40 broad street, 21b",21B,10004,"999,000",40 broad street,3,0,3,2500,3012,107
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1098,"40 broad street, 23h",23H,10004,"990,000",40 broad street,1,0,1,2500,1700,12
43.307766,-73.649482,"""40 Broad Street""",1,FINANCIAL,24,1133,"40 broad street, 28c",28C,10004,"575,000",40 broad street,2,0,2,2003,2472,118
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1023,"25 broad street, g004",G004,10004,"630,806",25 broad street,1,0,1,2442,1664,93
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1062,"25 broad street, l006",L006,10004,"750,000",25 broad street,1,0,1,2500,1156,54
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1072,"25 broad street, e007",E007,10004,"945,000",25 broad street,1,0,1,1566,1120,119
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1080,"25 broad street, m007",M007,10004,"815,000",25 broad street,2,0,2,1683,2019,118
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1082,"25 broad street, o007",O007,10004,"850,000",25 broad street,1,0,1,4000,1268,88
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1086,"25 broad street, t007",T007,10004,"1,588,000",25 broad street,1,0,1,3000,1872,97
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1092,"25 broad street, h008",H008,10004,"985,000",25 broad street,8,2,10,2000,7535,107
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1097,"25 broad street, m008",M008,10004,"835,000",25 broad street,3,0,3,2300,3510,87
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1108,"25 broad street, g009",G009,10004,"915,000",25 broad street,6,0,6,2700,5400,85
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1113,"25 broad street, l009",L009,10004,"795,000",25 broad street,3,0,3,2000,4800,10
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1131,"25 broad street, m010",M010,10004,"845,000",25 broad street,2,0,2,1970,1480,121
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1139,"25 broad street, d011",D011,10004,"1,195,000",25 broad street,2,0,2,2200,1767,71
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1148,"25 broad street, m011",M011,10004,"885,000",25 broad street,2,0,2,2943,1800,14
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1149,"25 broad street, n011",N011,10004,"907,754",25 broad street,1,0,1,2000,1680,67
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1157,"25 broad street, e012",E012,10004,"1,065,000",25 broad street,2,0,2,4000,2325,33
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1167,"25 broad street, o012",O012,10004,"940,000",25 broad street,6,0,6,2188,5912,99
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1177,"25 broad street, h014",H014,10004,"1,060,000",25 broad street,3,0,3,3000,1562,99
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1193,"25 broad street, h015",H015,10004,"1,075,000",25 broad street,1,0,1,4917,2746,50
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1197,"25 broad street, m015",M015,10004,"1,367,968",25 broad street,1,0,1,4000,1170,92
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1211,"25 broad street, k016",K016,10004,"1,340,000",25 broad street,1,0,1,2500,1120,80
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1235,"25 broad street, d018",D018,10004,"1,300,000",25 broad street,1,0,1,40397,1538,2
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1239,"25 broad street, i018",I018,10004,"1,845,000",25 broad street,1,0,1,2800,1272,94
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1249,"25 broad street, a019",A019,10004,"1,215,000",25 broad street,1,0,1,4483,2860,66
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1250,"25 broad street, d019",D019,10004,"1,350,000",25 broad street,3,0,3,1875,2632,116
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1265,"25 broad street, d020",D020,10004,"1,380,000",25 broad street,1,0,1,4000,1472,80
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1294,"25 broad street, aph1",APH1,10004,"1,295,000",25 broad street,1,0,1,2600,1410,58
40.706054,-74.011136,"""25 Broad St""",1,FINANCIAL,25,1297,"25 broad street, fph1",FPH1,10004,"1,650,000",25 broad street,2,0,2,2500,1376,13
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1403,"15 william street, d2",D2,10005,"1,344,090",15 william street,1,0,1,3000,1140,92
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1426,"15 william street, 8g",8G,10005,"905,000",15 william street,1,0,1,4700,2625,60
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1480,"15 william st, 16e",16E,10005,"1,600,000",15 william st,3,0,3,2750,3120,11
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1506,"15 william street, 19g",19G,10005,"885,000",15 william street,2,0,2,6200,2160,94
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1523,"15 william street, 21h",21H,10005,"1,220,000",15 william street,2,0,2,2000,2880,107
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1560,"15 william street, 26e",26E,10005,"1,300,000",15 william street,0,2,2,2323,2300,88
40.848421,-73.634335,"""15 William Street""",1,FINANCIAL,25,1563,"15 william street, 26h",26H,10005,"1,380,000",15 william street,2,1,3,2502,6750,100
